stop_id,stop_name,stop_lat,stop_lon
STIB-5480,LA CHASSE,50.830979,4.389845
STIB-5501,GJ MARTIN,50.836753,4.41154
STIB-5502,LEOPOLD II,50.836257,4.41523
STIB-5503,JULES CESAR,50.834663,4.421915
STIB-5504,CHIEN VERT,50.835002,4.428247
STIB-5507,DE VILLALOBAR,50.82784,4.438996
STIB-5508,MADOUX,50.827135,4.444942
STIB-5509,RUE AU BOIS,50.831131,4.451677
STIB-5510,AVIATION,50.834696,4.456609
STIB-5512,ESCRIME,50.838719,4.463992
STIB-5515,DE BURBURE,50.845317,4.47354
STIB-5516,BEL-AIR,50.845853,4.479758
STIB-5517,LOUIS MARCELIS,50.846268,4.484802
STIB-5518,RUISSEAU,50.846818,4.491262
STIB-5519,TER MEEREN,50.844993,4.499935
STIB-5520F,BAN-EIK,50.842114,4.502611
STIB-5521,TER MEEREN,50.845288,4.499688
STIB-5522,RUISSEAU,50.846828,4.490782
STIB-5523,LOUIS MARCELIS,50.84627,4.484267
STIB-5524,BEL-AIR,50.845869,4.479264
STIB-5525,DE BURBURE,50.845335,4.473043
STIB-5528F,BAN-EIK,50.842397,4.502451
STIB-5529,AMITIE,50.844605,4.465019
STIB-5530,AMITIE,50.844608,4.46451
STIB-5531,GJ MARTIN,50.836834,4.411412
STIB-5532,EGLANTIERS,50.844774,4.467008
STIB-5533,EGLANTIERS,50.844783,4.466496
STIB-5551,ESCRIME,50.838098,4.46316
STIB-5553,AVIATION,50.834894,4.456936
STIB-5554,RUE AU BOIS,50.830978,4.451379
STIB-5555,MADOUX,50.827387,4.444659
STIB-5556,DE VILLALOBAR,50.827858,4.438684
STIB-5559,CHIEN VERT,50.835083,4.427821
STIB-5560,JULES CESAR,50.83496,4.420425
STIB-5561F,LEOPOLD II,50.836232,4.415438
STIB-5562,GJ MARTIN,50.837595,4.412111
STIB-5611,MUSEE D'IXELLES,50.829965,4.369547
STIB-5612,MUSEE D'IXELLES,50.829785,4.369746
STIB-5700G,DE WAND,50.895098,4.357463
STIB-5701,ESPLANADE,50.900108,4.348126
STIB-5704F,ARAUCARIA,50.892871,4.363956
STIB-5705,BUISSONNETS,50.891291,4.368867
STIB-5710F,VERBOEKHOVEN,50.871388,4.375288
STIB-5711F,PAVILLON,50.869258,4.370997
STIB-5714,THOMAS,50.865348,4.362872
STIB-5715F,HEEMBEEK,50.886989,4.376573
STIB-5716F,HEEMBEEK,50.887374,4.37641
STIB-5717F,HEEMBEEK,50.887012,4.376683
STIB-5718,ORBAN,50.826901,4.327151
STIB-5735,GILLON,50.855891,4.366991
STIB-5740,VERBOEKHOVEN,50.871379,4.375217
STIB-5741,PAVILLON,50.869914,4.371608
STIB-5742B,STEPHENSON,50.869591,4.36719
STIB-5757,ORBAN,50.82727,4.327492
STIB-5757F,ORBAN,50.827279,4.327477
STIB-5758F,DOCKS BRUXSEL,50.879173,4.374834
STIB-5759F,DOCKS BRUXSEL,50.879569,4.374806
STIB-5760,DOCKS BRUXSEL,50.878679,4.37712
STIB-5761,DOCKS BRUXSEL,50.878903,4.37669
STIB-5762,THOMAS,50.865689,4.364534
STIB-5765F,PAVILLON,50.869555,4.371338
STIB-5766,VERBOEKHOVEN,50.871128,4.376282
STIB-5772,BUISSONNETS,50.891533,4.368331
STIB-5773,ARAUCARIA,50.8937,4.362556
STIB-5776,ESPLANADE,50.900459,4.348084
STIB-5779,DE WAND,50.895188,4.355108
STIB-5781F,ANCRE,50.890145,4.377451
STIB-5782F,ANCRE,50.890338,4.377721
STIB-5783F,ZAVELPUT,50.893951,4.382853
STIB-5784F,ZAVELPUT,50.894329,4.382867
STIB-5785F,PETER BENOIT,50.895101,4.38726
STIB-5786F,PETER BENOIT,50.895523,4.389136
STIB-5787F,CHEMIN VERT,50.896448,4.393529
STIB-5788F,CHEMIN VERT,50.896664,4.394069
STIB-5789F,NELSON MANDELA,50.898857,4.397553
STIB-5790F,NELSON MANDELA,50.899072,4.398079
STIB-5791F,M. YOURCENAR,50.902695,4.397882
STIB-5792F,M. YOURCENAR,50.903054,4.398209
STIB-5793F,SIMONE VEIL,50.904986,4.401154
STIB-5794F,SIMONE VEIL,50.905166,4.401729
STIB-5795G,MERCATOR,50.90838,4.395715
STIB-5796G,MERCATOR,50.908451,4.395445
STIB-5797F,HOPITAL MILITAIRE,50.908279,4.389796
STIB-5798F,HOPITAL MILITAIRE,50.907965,4.389397
STIB-5801,PAIX,50.876904,4.400878
STIB-5802,TILLEUL,50.87592,4.392843
STIB-5803G,HELMET,50.873428,4.386924
STIB-5804G,FOYER SCHAERBEEK.,50.871651,4.384372
STIB-5805,WAELHEM,50.870156,4.382107
STIB-5806,DE WAND,50.895399,4.356785
STIB-5810,TIMMERMANS,50.818572,4.340952
STIB-5811,MOLIERE-LONGCHAMP,50.816262,4.339974
STIB-5813,ROOSENDAEL,50.810319,4.337566
STIB-5817,UCCLE CALEVOET,50.791986,4.332798
