trip_id,route_id
STIB-124662673288742601,STIB-15
STIB-124662675288742601,STIB-15
STIB-124662676288742601,STIB-15
STIB-124662677288742601,STIB-15
STIB-124662678288742601,STIB-15
STIB-124662679288742601,STIB-15
STIB-124662680288742601,STIB-15
STIB-124662681288742601,STIB-15
STIB-124662682288742601,STIB-15
STIB-124662684288742601,STIB-15
STIB-124662685288742601,STIB-15
STIB-124662686288742601,STIB-15
STIB-124662687288742601,STIB-15
STIB-124662688288742601,STIB-15
STIB-124662689288742601,STIB-15
STIB-124662690288742601,STIB-15
STIB-124662691288742601,STIB-15
STIB-124662693288742601,STIB-15
STIB-124662695288742601,STIB-15
STIB-124662696288742601,STIB-15
STIB-124662697288742601,STIB-15
STIB-124662698288742601,STIB-15
STIB-124662699288742601,STIB-15
STIB-124662700288742601,STIB-15
STIB-124662701288742601,STIB-15
STIB-124662702288742601,STIB-15
STIB-124662704288742601,STIB-15
STIB-124662705288742601,STIB-15
STIB-124662706288742601,STIB-15
STIB-124662707288742601,STIB-15
STIB-124662708288742601,STIB-15
STIB-124662709288742601,STIB-15
STIB-124662710288742601,STIB-15
STIB-124662711288742601,STIB-15
STIB-124662712288742601,STIB-15
STIB-124662713288742601,STIB-15
STIB-124662714288742601,STIB-15
STIB-124662715288742601,STIB-15
STIB-124662716288742601,STIB-15
STIB-124662717288742601,STIB-15
STIB-124662718288742601,STIB-15
STIB-124662719288742601,STIB-15
STIB-124662720288742601,STIB-15
STIB-124662721288742601,STIB-15
STIB-124662722288742601,STIB-15
STIB-124662723288742601,STIB-15
STIB-124662725288742601,STIB-15
STIB-124662726288742601,STIB-15
STIB-124662728288742601,STIB-15
STIB-124662729288742601,STIB-15
STIB-124662730288742601,STIB-15
STIB-124662733288742601,STIB-15
STIB-124662734288742601,STIB-15
STIB-124662736288742601,STIB-15
STIB-124662737288742601,STIB-15
STIB-124662739288742601,STIB-15
STIB-124662740288742601,STIB-15
STIB-124662742288742601,STIB-15
STIB-124662743288742601,STIB-15
STIB-124662744288742601,STIB-15
STIB-124662745288742601,STIB-15
STIB-124662746288742601,STIB-15
STIB-124662747288742601,STIB-15
STIB-124662748288742601,STIB-15
STIB-124662749288742601,STIB-15
STIB-124662750288742601,STIB-15
STIB-124662751288742601,STIB-16
STIB-124662753288742601,STIB-15
STIB-124662754288742601,STIB-15
STIB-124662755288742601,STIB-15
STIB-124662756288742601,STIB-15
STIB-124662757288742601,STIB-15
STIB-124662758288742601,STIB-15
STIB-124662759288742601,STIB-15
STIB-124662760288742601,STIB-16
STIB-124662762288742601,STIB-15
STIB-124662763288742601,STIB-15
STIB-124662764288742601,STIB-15
STIB-124662765288742601,STIB-15
STIB-124662766288742601,STIB-15
STIB-124662767288742601,STIB-15
STIB-124662768288742601,STIB-15
STIB-124662769288742601,STIB-15
STIB-124662770288742601,STIB-16
STIB-124662772288742601,STIB-15
STIB-124662773288742601,STIB-15
STIB-124662774288742601,STIB-15
STIB-124662775288742601,STIB-15
STIB-124662776288742601,STIB-15
STIB-124662777288742601,STIB-15
STIB-124662778288742601,STIB-15
STIB-124662779288742601,STIB-16
STIB-124662781288742601,STIB-15
STIB-124662782288742601,STIB-15
STIB-124662783288742601,STIB-15
STIB-124662784288742601,STIB-15
STIB-124662785288742601,STIB-15
STIB-124662786288742601,STIB-15
STIB-124662788288742601,STIB-15
STIB-124662789288742601,STIB-15
STIB-124662790288742601,STIB-15
STIB-124662791288742601,STIB-15
STIB-125909430293368602,STIB-15
STIB-125909431293368602,STIB-15
STIB-125909432293368602,STIB-15
STIB-125909433293368602,STIB-15
STIB-125909434293368602,STIB-15
STIB-125909435293368602,STIB-15
STIB-125909436293368602,STIB-15
STIB-125909437293368602,STIB-15
STIB-125909438293368602,STIB-15
STIB-125909439293368602,STIB-16
STIB-125909440293368602,STIB-15
STIB-125909441293368602,STIB-15
STIB-125909442293368602,STIB-15
STIB-125909443293368602,STIB-15
STIB-125909444293368602,STIB-15
STIB-125909445293368602,STIB-15
STIB-125909446293368602,STIB-15
STIB-125909447293368602,STIB-15
STIB-125909448293368602,STIB-15
STIB-125909449293368602,STIB-16
STIB-125909450293368602,STIB-15
STIB-125909451293368602,STIB-15
STIB-125909452293368602,STIB-15
STIB-125909453293368602,STIB-15
STIB-125909454293368602,STIB-15
STIB-125909455293368602,STIB-15
STIB-125909456293368602,STIB-15
STIB-125909457293368602,STIB-15
STIB-125909458293368602,STIB-15
STIB-125909459293368602,STIB-15
STIB-125909460293368602,STIB-15
STIB-125909461293368602,STIB-15
STIB-125909462293368602,STIB-15
STIB-125909463293368602,STIB-15
STIB-125909464293368602,STIB-15
STIB-125909465293368602,STIB-15
STIB-125909466293368602,STIB-15
STIB-125909467293368602,STIB-15
STIB-125909468293368602,STIB-15
STIB-125909469293368602,STIB-15
STIB-125909470293368602,STIB-15
STIB-125909471293368602,STIB-15
STIB-125909472293368602,STIB-15
STIB-125909473293368602,STIB-15
STIB-125909474293368602,STIB-15
STIB-125909475293368602,STIB-15
STIB-125909476293368602,STIB-15
STIB-125909477293368602,STIB-15
STIB-125909478293368602,STIB-15
STIB-125909479293368602,STIB-15
STIB-125909480293368602,STIB-15
STIB-125909481293368602,STIB-15
STIB-125909482293368602,STIB-15
STIB-125909485293368602,STIB-15
STIB-125909486293368602,STIB-15
STIB-125909487293368602,STIB-15
STIB-125909488293368602,STIB-15
STIB-125909489293368602,STIB-15
STIB-125909490293368602,STIB-15
STIB-125909492293368602,STIB-15
STIB-125909493293368602,STIB-15
STIB-125909494293368602,STIB-15
